activity_count,afk_count,real_activity,total_time_spent,hardworking_score,study_level
32,4,28,45272.997,9,High
290,6,284,8012.059,100,High
17,1,16,7248.137,5,High
16,4,12,6950.705,4,High
75,5,70,6719.286,24,High
116,6,110,6650.945,38,High
15,1,14,6344.52,4,High
20,2,18,6151.995,6,Medium-High
29,2,27,6033.794,9,Medium-High
163,7,156,6026.283,54,Medium-High
16,3,13,5960.603,4,Medium-High
84,3,81,5749.548,28,Medium-High
63,3,60,5630.045,21,Medium-High
10,3,7,5386.719,2,Medium-Low
15,2,13,5281.499,4,Medium-Low
46,0,46,5226.008,16,Medium-Low
53,7,46,5185.225,16,Medium-Low
56,1,55,5158.454,19,Medium-Low
58,3,55,5082.422,19,Medium-Low
25,4,21,4589.387,7,Medium-Low
153,6,147,3658.802,51,Low
15,2,13,2997.09,4,Low
10,0,10,837.216,3,Low
48,1,47,355.324,16,Low
3,3,0,0.0,0,Low
1,1,0,0.0,0,Low
6,5,1,0.0,0,Low
